s1_time_fin,s5_time_fin
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.01
0.01,0.019999999999999997
0.04,0.03
0.039999999999999994,0.05
0.06,0.06999999999999999
0.08000000000000002,0.09000000000000002
0.1,0.10999999999999999
0.13,0.13
0.13999999999999996,0.15000000000000002
0.16000000000000003,0.17999999999999994
0.18999999999999995,0.20000000000000007
0.20999999999999996,0.21999999999999997
0.22999999999999998,0.24
0.26,0.27
0.27,0.29000000000000004
0.31000000000000005,0.31999999999999984
0.31000000000000005,0.3400000000000003
0.33999999999999986,0.3599999999999999
0.3600000000000003,0.3700000000000001
0.36999999999999966,0.3999999999999999
0.3999999999999999,0.4199999999999995
0.41000000000000014,0.4400000000000004
0.4400000000000004,0.45999999999999996
0.45999999999999996,0.46999999999999975
0.45999999999999996,0.4900000000000002
0.47999999999999954,0.5099999999999998
0.5,0.5300000000000002
0.5200000000000005,0.54
0.54,0.5599999999999996
0.5299999999999994,0.5700000000000003
0.5400000000000009,0.5800000000000001
0.5800000000000001,0.5999999999999996
0.5599999999999987,0.6100000000000012
0.5800000000000001,0.6099999999999994
0.6000000000000014,0.629999999999999
0.5899999999999999,0.6300000000000008
0.5899999999999999,0.6400000000000006
0.6099999999999994,0.6499999999999986
0.5999999999999996,0.6400000000000006
0.5899999999999999,0.6500000000000004
0.620000000000001,0.6600000000000001
0.6199999999999992,0.6500000000000004
0.620000000000001,0.6499999999999986
0.620000000000001,0.6099999999999994
0.6099999999999994,0.6700000000000017
0.5999999999999979,0.5500000000000007
0.6500000000000021,0.5799999999999983
0.5899999999999999,0.6400000000000006
0.6099999999999994,0.6400000000000006
0.5899999999999999,0.629999999999999
0.5799999999999983,0.6099999999999994
0.5800000000000018,0.6099999999999994
0.5599999999999987,0.6000000000000014
0.5600000000000023,0.5800000000000018
0.5199999999999996,0.5699999999999967
0.5199999999999996,0.5500000000000007
